iters,time,energy
0,0,1305.58
1,0.057573,126.581
2,0.118994,32.3242
3,0.1817,25.6819
4,0.249354,19.8956
5,0.312897,8.89198
6,0.375887,5.90978
7,0.433705,4.62393
8,0.487849,4.27041
9,0.544716,4.12985
10,0.59626,4.10762
11,0.64833,4.09707
12,0.699256,4.09236
13,0.751016,4.09084
14,0.801572,4.08986
15,0.852411,4.08967
16,0.903857,4.08944
17,0.956975,4.08935
18,1.00977,4.08932
19,1.06263,4.0893
20,1.11751,4.0893
21,1.17081,4.0893
22,1.22451,4.08929
23,1.2778,4.08929
24,1.33038,4.08928
25,1.38834,4.08928
26,1.43853,4.08928
27,1.49112,4.08928
28,1.54378,4.08928
29,1.59769,4.08928
30,1.64847,4.08928
31,1.70092,4.08928
32,1.75657,4.08928
33,1.81114,4.08928
34,1.86665,4.08928
35,1.91977,4.08928
36,1.97844,4.08928
37,2.03073,4.08928
38,2.08568,4.08928
39,2.14018,4.08928
40,2.19474,4.08928
41,2.25004,4.08928
42,2.3001,4.08928
43,2.35387,4.08928
44,2.40339,4.08928
45,2.45694,4.08928
46,2.50909,4.08928
47,2.56576,4.08928
48,2.62025,4.08928
49,2.66994,4.08928
50,2.72526,4.08928
51,2.8881,4.08928
52,3.05161,4.08928
53,3.22233,4.08928
54,3.38147,4.08928
55,3.55012,4.08928
56,3.72437,4.08928
57,3.88582,4.08928
58,4.04676,4.08928
59,4.23064,4.08928
60,4.39153,4.08928
61,4.54589,4.08928
62,4.703,4.08928
63,4.85794,4.08928
64,5.0139,4.08928
65,5.16997,4.08928
66,5.33336,4.08928
67,5.51852,4.08928
68,5.69972,4.08928
69,5.88842,4.08928
70,6.05239,4.08928
71,6.2099,4.08928
72,6.36762,4.08928
73,6.52495,4.08928
74,6.68222,4.08928
75,6.84012,4.08928
76,6.99869,4.08928
77,7.15493,4.08928
78,7.31127,4.08928
79,7.46635,4.08928
80,7.62412,4.08928
81,7.79081,4.08928
82,7.94511,4.08928
83,8.10285,4.08928
84,8.25838,4.08928
85,8.41404,4.08928
86,8.57008,4.08928
87,8.72647,4.08928
88,8.8829,4.08928
89,9.0674,4.08928
90,9.25088,4.08928
91,9.43134,4.08928
92,9.63377,4.08928
93,9.79191,4.08928
94,9.94856,4.08928
95,10.1103,4.08928
96,10.2667,4.08928
97,10.4254,4.08928
98,10.5879,4.08928
99,10.7663,4.08928
100,10.9251,4.08928
